Name	p-val	Chr	Start	End	Strand	Lib
Phas-1	1e-05	1	18828	18969	NONE	nd
Phas-2	1e-05	1	2526967	2527564	NONE	nd
Phas-3	1e-05	1	4114171	4114384	NONE	nd
Phas-4	1e-05	1	4836456	4837595	NONE	nd
Phas-5	1e-05	1	4841535	4841844	NONE	nd
Phas-6	1e-05	1	5331760	5331949	NONE	nd
Phas-7	1e-05	1	11038995	11039232	NONE	nd
Phas-8	1e-05	1	11040254	11041679	NONE	nd
Phas-9	1e-05	1	17032203	17032416	NONE	nd
Phas-10	1e-05	1	17826071	17826212	NONE	nd
Phas-11	1e-05	1	19824838	19825987	NONE	nd
Phas-12	1e-05	1	19827488	19827653	NONE	nd
Phas-13	1e-05	1	20022844	20023057	NONE	nd
Phas-14	1e-05	1	21850062	21850179	NONE	nd
Phas-15	1e-05	1	23149908	23150049	NONE	nd
Phas-16	1e-05	1	23150454	23150787	NONE	nd
Phas-17	1e-05	1	37480707	37480992	NONE	nd
Phas-18	1e-05	1	40459952	40460189	NONE	nd
Phas-19	1e-05	1	51223321	51223582	NONE	nd
Phas-20	1e-05	1	74206500	74206689	NONE	nd
Phas-21	1e-05	1	77114050	77114143	NONE	nd
Phas-22	1e-05	1	77557765	77557834	NONE	nd
Phas-23	1e-05	1	98257336	98257597	NONE	nd
Phas-24	1e-05	1	109218604	109218793	NONE	nd
Phas-25	1e-05	1	140369282	140369471	NONE	nd
Phas-26	1e-05	1	140608431	140608524	NONE	nd
Phas-27	1e-05	1	158881818	158882175	NONE	nd
Phas-28	1e-05	1	164781391	164781604	NONE	nd
Phas-29	1e-05	1	170334652	170334913	NONE	nd
Phas-30	1e-05	1	175371188	175371761	NONE	nd
Phas-31	1e-05	1	178347695	178348652	NONE	nd
Phas-32	1e-05	1	178435135	178436524	NONE	nd
Phas-33	1e-05	1	178454671	178455508	NONE	nd
Phas-34	1e-05	1	178465013	178466234	NONE	nd
Phas-35	1e-05	1	178467864	178468029	NONE	nd
Phas-36	1e-05	1	178715513	178716446	NONE	nd
Phas-37	1e-05	1	179380762	179381407	NONE	nd
Phas-38	1e-05	1	179386763	179387264	NONE	nd
Phas-39	1e-05	1	179457255	179457420	NONE	nd
Phas-40	1e-05	1	179457352	179457973	NONE	nd
Phas-41	1e-05	1	179460337	179461582	NONE	nd
Phas-42	1e-05	1	179466896	179467469	NONE	nd
Phas-43	1e-05	1	179515336	179516342	NONE	nd
Phas-44	1e-05	1	180593052	180593793	NONE	nd
Phas-45	1e-05	1	180598480	180599603	NONE	nd
Phas-46	1e-05	1	180663905	180664923	NONE	nd
Phas-47	1e-05	1	180719907	180720801	NONE	nd
Phas-48	1e-05	1	180803219	180803696	NONE	nd
Phas-49	1e-05	1	180924527	180926108	NONE	nd
Phas-50	1e-05	1	180931444	180932257	NONE	nd
Phas-51	1e-05	1	180936945	180937758	NONE	nd
Phas-52	1e-05	1	185480423	185482004	NONE	nd
Phas-53	1e-05	1	185592370	185592607	NONE	nd
Phas-54	1e-05	1	185593906	185595944	NONE	nd
Phas-55	1e-05	1	185595419	185595944	NONE	nd
Phas-56	1e-05	1	185596839	185596884	NONE	nd
Phas-57	1e-05	1	185597175	185598036	NONE	nd
Phas-58	1e-05	1	185626575	185627772	NONE	nd
Phas-59	1e-05	1	185705227	185707615	NONE	nd
Phas-60	1e-05	1	185707090	185707255	NONE	nd
Phas-61	1e-05	1	185708665	185709550	NONE	nd
Phas-62	1e-05	1	185710339	185710552	NONE	nd
Phas-63	1e-05	1	185711798	185713573	NONE	nd
Phas-64	1e-05	1	185716953	185717598	NONE	nd
Phas-65	1e-05	1	185802860	185803746	NONE	nd
Phas-66	1e-05	1	185838001	185839054	NONE	nd
Phas-67	1e-05	1	189523521	189524718	NONE	nd
Phas-68	1e-05	1	229240533	229241058	NONE	nd
Phas-69	1e-05	1	237845549	237845912	NONE	nd
Phas-70	1e-05	1	242206242	242206407	NONE	nd
Phas-71	1e-05	1	244341975	244342860	NONE	nd
Phas-72	1e-05	1	246052861	246053098	NONE	nd
Phas-73	1e-05	1	248987370	248988303	NONE	nd
Phas-74	1e-05	1	252114497	252114686	NONE	nd
Phas-75	1e-05	1	267979874	267979991	NONE	nd
Phas-76	1e-05	1	268356515	268356824	NONE	nd
Phas-77	1e-05	1	269979204	269979657	NONE	nd
Phas-78	1e-05	1	270881898	270882135	NONE	nd
Phas-79	1e-05	1	275494580	275494841	NONE	nd
Phas-80	1e-05	1	289333537	289333798	NONE	nd
Phas-81	1e-05	1	289334521	289334806	NONE	nd
Phas-82	1e-05	1	290348958	290349099	NONE	nd
Phas-83	1e-05	1	291688302	291688635	NONE	nd
Phas-84	1e-05	1	291690391	291690700	NONE	nd
Phas-85	1e-05	1	300086916	300087297	NONE	nd
Phas-86	1e-05	1	302662378	302662519	NONE	nd
Phas-87	1e-05	2	3014501	3015170	NONE	nd
Phas-88	1e-05	2	7838778	7839039	NONE	nd
Phas-89	1e-05	2	8988686	8988947	NONE	nd
Phas-90	1e-05	2	19079120	19079333	NONE	nd
Phas-91	1e-05	2	22704644	22704881	NONE	nd
Phas-92	1e-05	2	29022065	29022230	NONE	nd
Phas-93	1e-05	2	31283357	31284010	NONE	nd
Phas-94	1e-05	2	33769263	33769452	NONE	nd
Phas-95	1e-05	2	36430959	36431124	NONE	nd
Phas-96	1e-05	2	38346798	38347371	NONE	nd
Phas-97	1e-05	2	81156514	81157718	NONE	nd
Phas-98	1e-05	2	104540617	104541022	NONE	nd
Phas-99	1e-05	2	155588422	155588611	NONE	nd
Phas-100	1e-05	2	168124231	168124348	NONE	nd
Phas-101	1e-05	2	172801133	172801394	NONE	nd
Phas-102	1e-05	2	200360856	200361261	NONE	nd
Phas-103	1e-05	2	203644032	203644197	NONE	nd
Phas-104	1e-05	2	209870463	209870964	NONE	nd
Phas-105	1e-05	2	209871370	209871799	NONE	nd
Phas-106	1e-05	2	210451646	210453227	NONE	nd
Phas-107	1e-05	2	226782369	226782582	NONE	nd
Phas-108	1e-05	2	231923761	231924046	NONE	nd
Phas-109	1e-05	2	235423127	235423892	NONE	nd
Phas-110	1e-05	2	235435455	235436364	NONE	nd
Phas-111	1e-05	2	235438030	235439131	NONE	nd
Phas-112	1e-05	2	235454606	235454675	NONE	nd
Phas-113	1e-05	2	235631286	235632022	NONE	nd
Phas-114	1e-05	2	235668531	235669344	NONE	nd
Phas-115	1e-05	2	235670533	235670770	NONE	nd
Phas-116	1e-05	2	235680605	235681538	NONE	nd
Phas-117	1e-05	2	235725580	235726369	NONE	nd
Phas-118	1e-05	2	235727610	235727775	NONE	nd
Phas-119	1e-05	2	236689270	236689843	NONE	nd
Phas-120	1e-05	2	237393842	237394079	NONE	nd
Phas-121	1e-05	2	238240748	238240913	NONE	nd
Phas-122	1e-05	2	239171220	239171313	NONE	nd
Phas-123	1e-05	2	240253732	240254017	NONE	nd
Phas-124	1e-05	2	244109671	244109956	NONE	nd
Phas-125	1e-05	2	244110912	244111005	NONE	nd
Phas-126	1e-05	2	244111467	244111560	NONE	nd
